Title,Designer 1,Designer 2,Designer 3,Designer 4,Designer 5
Brass: Birmingham,Gavan Brown,Matt Tolman,Martin Wallace,,
Pandemic Legacy: Season 1,Rob Daviau,Matt Leacock,,,
Ark Nova,Mathias Wigge,,,,
Gloomhaven,Isaac Childres,,,,
Twilight Imperium: Fourth Edition,Dane Beltrami,Corey Konieczka,Christian T. Petersen,,
Dune: Imperium,Paul Dennen,,,,
Terraforming Mars,Jacob Fryxelius,,,,
War of the Ring: Second Edition,Roberto Di Meglio,Marco Maggi,Francesco Nepitello,,
Star Wars: Rebellion,Corey Konieczka,,,,
Dune: Imperium – Uprising,Paul Dennen,,,,
Spirit Island,R. Eric Reuss,,,,
Gloomhaven: Jaws of the Lion,Isaac Childres,,,,
Gaia Project,Jens Drögemüller,Helge Ostertag,,,
Twilight Struggle,Ananda Gupta,Jason Matthews,,,
Through the Ages: A New Story of Civilization,Vlaada Chvátil,,,,
The Castles of Burgundy,Stefan Feld,,,,
Great Western Trail,Alexander Pfister,,,,
Eclipse: Second Dawn for the Galaxy,Touko Tahkokallio,,,,
Scythe,Jamey Stegmaier,,,,
7 Wonders Duel,Antoine Bauza,Bruno Cathala,,,
Brass: Lancashire,Martin Wallace,,,,
Frosthaven,Isaac Childres,,,,
Nemesis,Adam Kwapiński,,,,
Clank! Legacy: Acquisitions Incorporated,Andy Clautice,Paul Dennen,,,
A Feast for Odin,Uwe Rosenberg,,,,
Concordia,Mac Gerdts,,,,
Great Western Trail: Second Edition,Alexander Pfister,,,,
Lost Ruins of Arnak,Elwen,Mín,,,
Arkham Horror: The Card Game,Nate French,MJ Newman,,,
Root,Cole Wehrle,,,,
Too Many Bones,Josh J. Carlson,Adam Carlson,,,
The Lord of the Rings: Duel for Middle-earth,Antoine Bauza,Bruno Cathala,,,
Terra Mystica,Jens Drögemüller,Helge Ostertag,,,
Sky Team,Luc Rémond,,,,
Wingspan,Elizabeth Hargrave,,,,
Orléans,Reiner Stockhausen,,,,
Slay the Spire: The Board Game,Gary Dworetsky,Anthony Giovannetti,Casey Yano,,
Mage Knight Board Game,Vlaada Chvátil,,,,
Barrage,Tommaso Battista,Simone Luciani,,,
SETI: Search for Extraterrestrial Intelligence,Tomáš Holek,,,,
Everdell,James A. Wilson,,,,
The Crew: Mission Deep Sea,Thomas Sing,,,,
Viticulture Essential Edition,Jamey Stegmaier,Alan Stone,,,
Hegemony: Lead Your Class to Victory,Vangelis Bagiartakis,Varnavas Timotheou,,,
Heat: Pedal to the Metal,Asger Harding Granerud,Daniel Skjold Pedersen,,,
Marvel Champions: The Card Game,Michael Boggs,,,,
Crokinole,(Uncredited),,,,
Kanban EV,Vital Lacerda,,,,
Food Chain Magnate,Jeroen Doumen,Joris Wiersinga,,,
Underwater Cities,Vladimír Suchý,,,,
Pax Pamir: Second Edition,Cole Wehrle,,,,
Puerto Rico,Andreas Seyfarth,,,,
Cthulhu: Death May Die,Rob Daviau,Eric M. Lang,,,
Cascadia,Randy Flynn,,,,
Caverna: The Cave Farmers,Uwe Rosenberg,,,,
Pandemic Legacy: Season 0,Rob Daviau,Matt Leacock,,,
On Mars,Vital Lacerda,,,,
Anachrony,Dávid Turczi,,,,
Blood Rage,Eric M. Lang,,,,
Agricola,Uwe Rosenberg,,,,
Age of Innovation,Helge Ostertag,,,,
Oathsworn: Into the Deepwood,Jamie Jolly,,,,
Lisboa,Vital Lacerda,,,,
Sleeping Gods,Ryan Laukat,,,,
Obsession,Dan Hallagan,,,,
Grand Austria Hotel,Virginio Gigli,Simone Luciani,,,
Pandemic Legacy: Season 2,Rob Daviau,Matt Leacock,,,
Clank!: Catacombs,Paul Dennen,,,,
Mansions of Madness: Second Edition,Nikki Valens,,,,
Tzolk'in: The Mayan Calendar,Simone Luciani,Daniele Tascini,,,
Power Grid,Friedemann Friese,Friedemann Friese,,,
Harmonies,Johan Benvenuto,,,,
Quacks,Wolfgang Warsch,,,,
Clans of Caledonia,Juma Al-JouJou,,,,
Paladins of the West Kingdom,S J Macdonald,Shem Phillips,,,
Le Havre,Uwe Rosenberg,,,,
The Gallerist,Vital Lacerda,,,,
Ticket to Ride Legacy: Legends of the West,Rob Daviau,Matt Leacock,Alan R. Moon,,
Maracaibo,Alexander Pfister,,,,
Star Wars: Imperial Assault,Justin Kemppainen,Corey Konieczka,Jonathan Ying,,
Android: Netrunner,Richard Garfield,Lukas Litzsinger,,,
Agricola (Revised Edition),Uwe Rosenberg,,,,
The White Castle,Isra C.,Shei S.,,,
Mechs vs. Minions,Chris Cantrell,Rick Ernst,Stone Librande,Prashant Saraswat,Nathan Tiras
The Crew: The Quest for Planet Nine,Thomas Sing,,,,
Kingdom Death: Monster,Adam Poots,,,,
Race for the Galaxy,Thomas Lehmann,Thomas Lehmann,Andreas Seyfarth,,
Blood on the Clocktower,Steven Medway,,,,
Azul,Michael Kiesling,,,,
Great Western Trail: New Zealand,Alexander Pfister,,,,
Five Tribes: The Djinns of Naqala,Bruno Cathala,,,,
Revive,Helge Meissner,Kristian Amundsen Østby,Eilif Svensson,Anna Wermlund,
Darwin's Journey,Simone Luciani,Nestore Mangone,,,
Clank!: A Deck-Building Adventure,Paul Dennen,,,,
Fields of Arle,Uwe Rosenberg,,,,
Wingspan Asia,Elizabeth Hargrave,,,,
Eclipse: New Dawn for the Galaxy,Touko Tahkokallio,,,,
Aeon's End,Jenny Iglesias,Nick Little (I),Kevin Riley,,
El Grande,Wolfgang Kramer,Richard Ulrich,,,
Lords of Waterdeep,Peter Lee,Rodney Thompson,,,
SCOUT,Kei Kajino (梶野 桂),,,,
Teotihuacan: City of Gods,Daniele Tascini,,,,
Concordia Venus,Mac Gerdts,,,,
Beyond the Sun,Dennis K. Chan,,,,
Final Girl,Evan Derrick,A. J. Porfirio,,,
Voidfall,Nigel Buckle,Dávid Turczi,,,
Through the Ages: A Story of Civilization,Vlaada Chvátil,,,,
Dominant Species,Chad Jensen,,,,
7 Wonders,Antoine Bauza,,,,
The Search for Planet X,Matthew O'Malley,Ben Rosset,,,
Robinson Crusoe: Adventures on the Cursed Island,Joanna Kijanka,Ignacy Trzewiczek,,,
The Voyages of Marco Polo,Simone Luciani,Daniele Tascini,,,
Arcs,Cole Wehrle,,,,
Splendor Duel,Marc André,Bruno Cathala,,,
Decrypto,Thomas Dagenais-Lespérance,,,,
Trickerion: Legends of Illusion,Richard Ámann,Viktor Péter,,,
Inis,Christian Martinez,,,,
Battlestar Galactica: The Board Game,Corey Konieczka,,,,
Carnegie,Xavier Georges,,,,
Dwellings of Eldervale,Luke Laurie,,,,
The Quest for El Dorado,Reiner Knizia,,,,
Architects of the West Kingdom,S J Macdonald,Shem Phillips,,,
Tainted Grail: The Fall of Avalon,Krzysztof Piskorski,Marcin Świerkot,,,
Keyflower,Sebastian Bleasdale,Richard Breese,,,
Ra,Reiner Knizia,,,,
Tigris & Euphrates,Reiner Knizia,Reiner Knizia,Reiner Knizia,,
Raiders of the North Sea,Shem Phillips,,,,
Nemesis: Lockdown,Adam Kwapiński,,,,
Dominion: Intrigue,Donald X. Vaccarino,,,,
Caylus,William Attia,,,,
